model_id,sysml_path,txt_path,split,quality,category,likert_score,similarity_percent,structure_score,behavior_score,data_score,token_recall_percent,parse_status,matched_terms,missing_terms
1,data/000001/000001.sysml,data/000001/000001.txt,official,A+,automotive,2,43.3,41,41,41.7,50,ok,Cd Real,x_out LengthValue
2,data/000002/000002.sysml,data/000002/000002.txt,official,A+,automotive,2,41.4,75,0,22.4,51.5,ok,Acceleration | Velocity | Position | Power | a: AccelerationValue,Dynamics | Dyn1 | >> x_out : LengthValue | x0: LengthValue | v0: SpeedValue | v: SpeedValue
3,data/000003/000003.sysml,data/000003/000003.txt,official,A+,automotive,3,64.9,79.3,,24.2,73,ok,Ideal Gas Law | Reversible Adiabatic Process | Ideal Gas Parcel | Turbojet Stage Analysis | Reversible Adiabatic Compression Temperature | Reversible Adiabatic Compression Density,Cp: DimensionOneValue | rho_1 | h_total | R_bar | gamma | rho
4,data/000004/000004.sysml,data/000004/000004.txt,official,A+,automotive,3,55.6,61.5,56.8,37.6,57.2,ok,Fuel Tank | Wheel | Vehicle | Velocity | fuelTank | wheel,Straight Line Dynamics | fuelOutPort | driveTrainEfficiency: Real | Acceleration | Position | a_out AccelerationValue
5,data/000005/000005.sysml,data/000005/000005.txt,official,A+,industrial,1,10.7,12.8,10.7,0,14.3,ok,,Service Discovery DD | Service Discovery DD | AHFCore Lib | Authorisation DD | Authorisation | Authorisation
6,data/000006/000006.sysml,data/000006/000006.txt,official,A+,industrial,3,48.5,39.8,65.9,41.4,46.3,ok,Subscribe | Publish | Send | APIS_MQTT: inline,aPIS_DD: APIS_DD | ResultGiveItems | CallGiveItems | retrn: ResultGiveItems | cll: CallGiveItems | giveTopic: APIS_DD
7,data/000007/000007.sysml,data/000007/000007.txt,official,A+,industrial,2,31.6,43.4,0,36.1,47,ok,SysLocalCloudsDesign | LocalCloudDesign | SysD | systems: SysD,serviceDefinition: String | intrfce_protocol: String | encoding_kind: String | AHFProfile Lib | Locclouds | SDDD
8,data/000008/000008.sysml,data/000008/000008.txt,official,A+,industrial,1,16.8,14.4,18.9,,18.5,ok,Mqtts | Mqtts,AHFN Local Cloud DD Seqs | AHFNorway Sequences | Mqttsf | Apsp | Apsc | Tlc
9,data/000009/000009.sysml,data/000009/000009.txt,official,A+,software,2,34.5,32.8,,,40,ok,,Product Selection N Ary Sys ML
10,data/000010/000010.sysml,data/000010/000010.txt,official,A+,software,4,67.5,66.3,,,71.4,ok,Online Customer,
11,data/000011/000011.sysml,data/000011/000011.txt,official,A+,software,5,86.6,77.6,100,,84.1,ok,Online Customer | Shopping Cart | Product | Product | Online Customer,Product Selection Unowned Ends Sys ML
12,data/000012/000012.sysml,data/000012/000012.txt,official,A+,electronics,4,81.1,69.2,100,,76.1,ok,Focusing Subsystem | Imaging Subsystem | Camera | Focusing Subsystem | Imaging Subsystem,Sys ML2 Model
13,data/000013/000013.sysml,data/000013/000013.txt,official,A+,electronics,5,91.4,84.5,100,,91.6,ok,Focus | Shoot | Focus | Shoot | Picture Taking,
14,data/000014/000014.sysml,data/000014/000014.txt,official,A+,medical,5,99.4,98.5,100,,100,ok,Effected1 | Effected2 | Causer1 | Causer2 | Effected1 | Causer2,
15,data/000015/000015.sysml,data/000015/000015.txt,official,A+,medical,5,98.2,97.6,,,100,ok,Medical Device | Battery | Medical Device Failure,
16,data/000016/000016.sysml,data/000016/000016.txt,official,A+,unknown,5,100,100,,,100,ok,Comments,
17,data/000017/000017.sysml,data/000017/000017.txt,official,A+,electronics,3,56.7,54.7,59.2,48.8,61.7,ok,Flashlight | User | Light | Reflect Light | light: Light,OnOffCmdPort | onOffCmdPort | onOffCmdPort: OnOffCmdPort | context
18,data/000018/000018.sysml,data/000018/000018.txt,official,A+,automotive,3,59.3,58.5,,,61.9,ok,Car,Car With Enveloping Shape
19,data/000019/000019.sysml,data/000019/000019.txt,official,A+,automotive,5,90.1,81.7,100,94,88.5,ok,Power Source | Engine | Car | powerSource | powerSource: Engine | powerSource: Engine,
20,data/000020/000020.sysml,data/000020/000020.txt,official,A+,aerospace,2,32.3,31.3,,,35.7,ok,,External Shape Ref Example
21,data/000021/000021.sysml,data/000021/000021.txt,official,A+,automotive,2,45.1,55.4,35.4,20.5,56.9,ok,Simple Quadcopter | Camera | mainBody | propeller | Strut | motor,Strut1 | Strut2 | Strut3 | Strut4 | quadCopter | strut1
22,data/000022/000022.sysml,data/000022/000022.txt,official,A+,automotive,4,82.1,88.7,96,35.1,87.1,ok,Lug Bolts | Chassis | vehicle | Wheel | lugBolts | chassis,lugBoltDistributionAngle: >> planeAngle | numberOfBolts: Natural | lbda: Real
23,data/000023/000023.sysml,data/000023/000023.txt,official,A+,automotive,2,42.9,42.9,,,42.9,ok,Vehicle,Alias Import
24,data/000024/000024.sysml,data/000024/000024.txt,official,A+,unknown,1,0,0,,,0,ok,,Circular Import
25,data/000025/000025.sysml,data/000025/000025.txt,official,A+,unknown,1,10.5,15.6,0,,16,ok,,Private Import Test | Z1 | Z1
26,data/000026/000026.sysml,data/000026/000026.txt,official,A+,unknown,1,0,0,,,0,ok,,Qualified Name Import Test
27,data/000027/000027.sysml,data/000027/000027.txt,official,A+,automotive,4,74.7,59.1,100,68.4,72.7,ok,Engine | Vehicle | Fuel Consumption | engine | fuelEfficiency: Real | power PowerValue,Analysis Individual Example | DistancePerVolumeUnit
28,data/000028/000028.sysml,data/000028/000028.txt,official,A+,software,4,82.5,88.7,100,24,91.2,ok,United States | Country | Person | John | Country | John,age: ScalarValues Natural
29,data/000029/000029.sysml,data/000029/000029.txt,official,A+,software,4,80.8,90.3,84,41,88.9,ok,Subscribe | Producer | Publish | Deliver | Server | consumer,Pub Sub Sequence | Pub Sub Sequence
30,data/000030/000030.sysml,data/000030/000030.txt,official,A+,software,2,43.3,41.5,,,48.8,ok,,Pub Sub Sequence Outside
31,data/000031/000031.sysml,data/000031/000031.txt,official,A+,software,3,58,60.8,63.7,34.2,62.9,ok,Subscribe | Deliver | Producer 2 | Consumer 2 | server_2,Server Sequence Outside Realization 2 | someTopic: String | myTopic: String | Delivery | External
32,data/000032/000032.sysml,data/000032/000032.txt,official,A+,software,2,44,32.3,53.6,48.5,47.4,ok,publishing.topic == subscribing.topic | publishing.topic == subscribing.topic | Subscribing | Publishing,someTopic: String | myTopic: String | Server Sequence Outside Realization 3 | Realization 2 | Delivering | Decision1
33,data/000033/000033.sysml,data/000033/000033.txt,official,A+,software,2,40.5,25.7,63.7,34.2,39.7,ok,Subscribe | Deliver,someTopic: String | myTopic: String | Server Sequence Realization 2 | Realization 2 | Delivery | External
34,data/000034/000034.sysml,data/000034/000034.txt,official,A+,software,3,47.3,26.7,70.2,48.5,50.3,ok,publishing.topic == subscribing.topic | publishing.topic == subscribing.topic | Subscribing | Publishing | Delivering,someTopic: String | myTopic: String | Server Sequence Realization 3 | Subscription Port | Realization 2 | Decision1
35,data/000035/000035.sysml,data/000035/000035.txt,official,A+,automotive,3,64.6,49.9,100,86,32.8,ok,Trans | Eng | Transmission | Engine | trans | eng,Vehicle1 | Vehicle2 | Vehicle3 | Vehicle4
