sysml_path,readiness_percent,readiness_band,l1_structural_score,l2_behavioral_score,l3_property_score,observability_score,repair_score,sequence_validity,ready_signals,improvement_cues,parse_status
data/000001/000001.sysml,38.5,Mostly Structural,51.3,53.8,27.7,24.5,16.7,100.0%,,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Expose more state, values, and interfaces so behavioral oracles can inspect the run. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000002/000002.sysml,58.4,Behavior-Partially Ready,69.3,63.3,50.2,47.0,56.2,100.0%,,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Expose more state, values, and interfaces so behavioral oracles can inspect the run. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000003/000003.sysml,47.1,Mostly Structural,66.9,60.4,0.0,60.0,62.5,N/A,,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Expose more state, values, and interfaces so behavioral oracles can inspect the run. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000004/000004.sysml,65.4,Behavior-Partially Ready,87.5,66.0,56.6,42.0,65.5,100.0%,Layer 1 compiler and type-resolution signals look strong.,"Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Expose more state, values, and interfaces so behavioral oracles can inspect the run. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000005/000005.sysml,68.9,Behavior-Partially Ready,59.1,72.5,67.4,87.5,60.1,100.0%,Layer 2 executable behavior looks ready for simulation feedback. | Simulation traces should be observable enough to compare against requirements.,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add more guards, thresholds, and state semantics for formal property checking. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000006/000006.sysml,68.9,Behavior-Partially Ready,77.5,58.8,68.0,81.5,55.7,100.0%,Layer 1 compiler and type-resolution signals look strong. | Simulation traces should be observable enough to compare against requirements.,"Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000007/000007.sysml,24.9,Not Ready,67.8,0.0,0.0,22.5,45.9,N/A,,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Expose more state, values, and interfaces so behavioral oracles can inspect the run. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000008/000008.sysml,69.1,Behavior-Partially Ready,56.3,75.0,70.6,90.5,50.1,100.0%,Layer 2 executable behavior looks ready for simulation feedback. | Layer 3 property translation and checking look plausible. | Simulation traces should be observable enough to compare against requirements.,Strengthen the structural and typing surface for compiler-in-the-loop repair. | Name and modularize behavioral fragments so repair prompts can stay targeted.,ok
data/000009/000009.sysml,9.3,Not Ready,34.4,0.0,0.0,2.5,2.9,N/A,,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Expose more state, values, and interfaces so behavioral oracles can inspect the run. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000010/000010.sysml,11.6,Not Ready,36.9,0.0,0.0,7.5,12.3,N/A,,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Expose more state, values, and interfaces so behavioral oracles can inspect the run. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000011/000011.sysml,56.1,Behavior-Partially Ready,46.3,63.8,59.5,66.0,37.8,100.0%,,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Expose more state, values, and interfaces so behavioral oracles can inspect the run. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
data/000012/000012.sysml,46.8,Mostly Structural,40.3,63.8,40.3,53.5,26.7,100.0%,,"Strengthen the structural and typing surface for compiler-in-the-loop repair. | Add richer executable behavior for the simulation layer. | Add more guards, thresholds, and state semantics for formal property checking. | Expose more state, values, and interfaces so behavioral oracles can inspect the run. | Name and modularize behavioral fragments so repair prompts can stay targeted.",ok
